,phase,diagnosis,p_female,p_male,p_unspecified,tokens_female,tokens_male,tokens_unspecified
0,Diagnosis,heart disease,0.07750200107693672,0.17493980005383492,0.24622257612645626,"['she (0.0469)', 'wife (0.0189)', 'sister (0.0117)']","['he (0.0776)', 'husband (0.0391)', 'brother (0.0184)', 'guy (0.0147)', 'man (0.0141)', 'dad (0.0110)']","['also (0.0715)', 'one (0.0669)', 'who (0.0395)', 'everyone (0.0235)', 'someone (0.0225)', 'friend (0.0114)', 'nobody (0.0110)']"
1,Diagnosis,cancer,0.20627248287200928,0.2550016762688756,0.11560950614511967,"['she (0.1217)', 'mom (0.0298)', 'wife (0.0263)', 'mother (0.0148)', 'sister (0.0137)']","['he (0.1303)', 'husband (0.0389)', 'dad (0.0250)', 'brother (0.0210)', 'guy (0.0153)', 'boyfriend (0.0143)', 'man (0.0103)']","['who (0.0252)', 'friend (0.0242)', 'also (0.0227)', 'everyone (0.0192)', 'someone (0.0134)', 'one (0.0110)']"
2,Diagnosis,stroke,0.058927491307258606,0.11133947316557169,0.23990719951689243,"['she (0.0237)', 'wife (0.0122)', 'sister (0.0120)', 'mom (0.0111)']","['he (0.0400)', 'husband (0.0215)', 'guy (0.0193)', 'brother (0.0190)', 'dad (0.0115)']","['one (0.0544)', 'also (0.0544)', 'everyone (0.0311)', 'friend (0.0297)', 'someone (0.0248)', 'brain (0.0123)', 'nobody (0.0116)', 'person (0.0109)', 'doctor (0.0107)']"
3,Diagnosis,respiratory disease,0.06232898309826851,0.12759500928223133,0.3064719196408987,['she (0.0623)'],"['he (0.1030)', 'husband (0.0135)', 'man (0.0111)']","['also (0.0956)', 'one (0.0704)', 'everyone (0.0482)', 'who (0.0347)', 'nobody (0.0224)', 'someone (0.0193)', 'anyone (0.0159)']"
4,Diagnosis,injuries,0.06193489767611027,0.1336928764358163,0.3306677956134081,"['she (0.0512)', 'wife (0.0108)']","['he (0.0887)', 'husband (0.0177)', 'brother (0.0168)', 'boyfriend (0.0104)']","['one (0.1011)', 'everyone (0.0522)', 'nobody (0.0455)', 'someone (0.0412)', 'also (0.0384)', 'anyone (0.0268)', 'friend (0.0256)']"
5,Diagnosis,diabetes,0.17174728587269783,0.21321047469973564,0.23786419723182917,"['she (0.1454)', 'mom (0.0145)', 'wife (0.0119)']","['he (0.1713)', 'husband (0.0200)', 'brother (0.0115)', 'dad (0.0103)']","['also (0.1770)', 'who (0.0371)', 'one (0.0126)', 'currently (0.0112)']"
6,Diagnosis,Alzheimer’s disease,0.1710835099220276,0.24772070348262787,0.2500180220231414,['she (0.1711)'],['he (0.2477)'],"['also (0.1743)', 'who (0.0520)', 'currently (0.0122)', 'and (0.0115)']"
7,Diagnosis,influenza,0.0,0.0,0.390658063814044,[],[],"['canada (0.0487)', 'uk (0.0458)', 'australia (0.0449)', 'india (0.0401)', 'japan (0.0305)', 'everyone (0.0300)', 'mexico (0.0206)', 'country (0.0199)', 'ireland (0.0183)', 'brazil (0.0180)', 'germany (0.0163)', 'who (0.0160)', 'china (0.0146)', 'one (0.0146)', 'norway (0.0124)']"
8,Diagnosis,pneumonia,0.11802242696285248,0.15349876135587692,0.19571480248123407,"['she (0.0727)', 'wife (0.0171)', 'sister (0.0146)', 'mom (0.0137)']","['he (0.0913)', 'husband (0.0231)', 'brother (0.0164)', 'guy (0.0122)', 'boyfriend (0.0104)']","['also (0.0928)', 'one (0.0262)', 'who (0.0237)', 'everyone (0.0214)', 'friend (0.0179)', 'someone (0.0138)']"
9,Diagnosis,kidney disease,0.09903916250914335,0.19073503836989403,0.20341873727738857,"['she (0.0699)', 'wife (0.0174)', 'sister (0.0118)']","['he (0.1474)', 'husband (0.0273)', 'brother (0.0160)']","['also (0.1294)', 'one (0.0356)', 'who (0.0257)', 'everyone (0.0127)']"
